Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Shots,SoT,Yellows,Reds,Touches,Press,Tackles,Interceptions,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Carries,Prog,Succ,Att,Report,Name
Sun,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Inter Miami,Y,AM,90,0,0,0,0,4,0,0,0,67,16,0,0,0,0.2,0.2,0.3,7,0,42,54,77.8,11,56,11,2,3,Match Report,Marcelino Moreno
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,CF Montréal,Y,"LW,CM",90,1,0,0,0,2,2,1,0,69,8,3,0,1,0.1,0.1,0.2,3,0,44,51,86.3,9,54,5,1,6,Match Report,Marcelino Moreno
Sat,MLS,Regular Season,Home,W 4–1,Atlanta Utd,Chicago Fire,Y,LW,66,0,0,0,0,2,0,0,0,30,6,0,0,0,0.1,0.1,0.0,5,1,23,25,92.0,5,26,5,1,1,Match Report,Marcelino Moreno
Sun,MLS,Regular Season,Home,D 2–2,Atlanta Utd,New England,Y,"AM,RW",90,0,0,0,0,5,0,0,0,70,12,1,0,0,0.2,0.2,0.1,9,2,41,55,74.5,10,69,15,4,5,Match Report,Marcelino Moreno
Sat,MLS,Regular Season,Away,D 2–2,Atlanta Utd,Nashville,Y,"LW,AM",89,0,1,0,0,2,1,0,0,58,10,1,0,3,0.1,0.1,0.7,7,1,35,43,81.4,3,44,8,0,1,Match Report,Marcelino Moreno
Sat,MLS,Regular Season,Home,L 1–2,Atlanta Utd,Columbus Crew,Y,"CM,LW",90,0,0,0,0,1,1,1,0,69,19,1,1,1,0.0,0.0,0.4,5,0,43,56,76.8,3,62,11,1,3,Match Report,Marcelino Moreno
Sun,MLS,Regular Season,Home,W 2–0,Atlanta Utd,Inter Miami,Y,"AM,RW",90,0,0,0,0,2,1,0,0,73,18,3,3,1,0.1,0.1,0.4,5,0,41,51,80.4,6,61,7,3,5,Match Report,Marcelino Moreno
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Toronto FC,Y,"AM,LW",90,0,0,0,0,3,0,1,0,54,6,1,1,1,0.2,0.2,0.1,5,0,28,42,66.7,1,45,9,1,2,Match Report,Marcelino Moreno
Thu,MLS,Regular Season,Away,L 1–2,Atlanta Utd,NY Red Bulls,N,CM,1,0,0,0,0,0,0,0,0,4,3,0,0,2,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Match Report,Marcelino Moreno
Sun,MLS,Regular Season,Away,D 2–2,Atlanta Utd,NYCFC,Y,"LW,AM,CM",90,0,0,0,0,2,1,0,0,55,17,2,0,3,0.2,0.2,0.1,2,0,29,39,74.4,2,47,9,3,3,Match Report,Marcelino Moreno
Sat,MLS,Regular Season,Home,L 0–3,Atlanta Utd,Austin FC,N,"AM,LW",45,0,0,0,0,1,0,0,0,41,3,0,0,1,0.0,0.0,0.2,3,0,21,33,63.6,5,36,9,5,7,Match Report,Marcelino Moreno
Wed,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Real Salt Lake,Y,AM,90,0,0,0,0,4,1,1,0,72,17,8,3,0,0.4,0.4,0.0,2,0,40,50,80.0,2,56,13,1,3,Match Report,Marcelino Moreno
Sun,MLS,Regular Season,Home,D 1–1,Atlanta Utd,Orlando City,Y,"LW,LM",90,0,0,0,0,4,0,0,0,87,15,4,1,0,0.2,0.2,0.2,6,0,44,64,68.8,5,72,18,8,10,Match Report,Marcelino Moreno
